Occupation,gains,nogains
"Executives, managers, supervisors (non-finance)",40.8,42.5
"Financial professions, including management",18.4,18
Lawyers,6.2,7.3
Medical,4.4,5.9
"Real estate",4.7,3.7
"Entrepreneur not elsewhere classified",3.6,3
"Arts, media, sports",3.1,3
"Computer, math, engineering, technical (nonfinance)",3,2.9
"Business operations (nonfinance)",2.2,2.9
Other,2.6,2.7
"Skilled sales (except finance or real estate)",1.9,2.3
"Professors and scientists",1.1,0.9
"Farmers & ranchers",1,0.6
Unknown,0.7,0.5
"Not working or deceased",6.3,3.8
